"Story","Title","Result","Date","Stability","Duration (s)"
"Nomizo app","Login Scenario","ERROR","2022-07-22T01:55:02.4430475+07:00[Asia/Jakarta]","0.0","211.38"
"Nomizo app","Register Scenario","SUCCESS","2022-07-22T01:58:33.8436656+07:00[Asia/Jakarta]","0.0","218.5"
"Nomizo app","Profile - Logout User","SUCCESS","2022-07-22T02:02:12.356485+07:00[Asia/Jakarta]","0.0","41.09"
"Nomizo app","Profile - Edit User","SUCCESS","2022-07-22T02:02:53.4614568+07:00[Asia/Jakarta]","0.0","315.17"
"Nomizo app","Profile - View populer post","SUCCESS","2022-07-22T02:08:08.6344976+07:00[Asia/Jakarta]","0.0","36.54"
"Nomizo app","Profile - View latest post","SUCCESS","2022-07-22T02:08:45.1845609+07:00[Asia/Jakarta]","0.0","35.78"
"Nomizo app","Profile - Search","SUCCESS","2022-07-22T02:09:20.9807765+07:00[Asia/Jakarta]","0.0","162.63"
"Nomizo app","Notification - View","SUCCESS","2022-07-22T02:12:03.6165247+07:00[Asia/Jakarta]","0.0","29.5"
"Nomizo app","Post - Create new post","ERROR","2022-07-22T02:12:33.1284602+07:00[Asia/Jakarta]","0.0","360.9"
"Nomizo app","Post - Create new kategori","ERROR","2022-07-22T02:18:34.0414463+07:00[Asia/Jakarta]","0.0","456.8"
"Nomizo app","Search - Follow user","ERROR","2022-07-22T02:26:10.8480013+07:00[Asia/Jakarta]","0.0","91.67"
"Nomizo app","Search - Follow kategori","ERROR","2022-07-22T02:27:42.5320405+07:00[Asia/Jakarta]","0.0","94.04"
"Nomizo app","Post - Send Comment","SUCCESS","2022-07-22T02:29:16.58403+07:00[Asia/Jakarta]","0.0","44.57"
"Nomizo app","Post - Share post","ERROR","2022-07-22T02:30:01.1623414+07:00[Asia/Jakarta]","0.0","101.85"
"Nomizo app","Search","ERROR","2022-07-22T02:31:43.0171014+07:00[Asia/Jakarta]","0.0","356.05"
